"NUTS_CODE","TIMESTAMP","MEDIAN"
"EL645","2003-01-01",1.013
"EL651","2003-01-01",0.604
"EL652","2003-01-01",0.931
"EL653","2003-01-01",0.928
"ES111","2003-01-01",0.734
"ES112","2003-01-01",0.838
"ES113","2003-01-01",0.819
"ES114","2003-01-01",0.693
"ES120","2003-01-01",0.798
"ES130","2003-01-01",0.583
"ES211","2003-01-01",0.643
"ES212","2003-01-01",0.549
"ES213","2003-01-01",0.549
"ES220","2003-01-01",0.608
"ES230","2003-01-01",0.879
"ES241","2003-01-01",0.709
"ES242","2003-01-01",0.193
"ES243","2003-01-01",-0.052
"ES300","2003-01-01",0.796
"ES411","2003-01-01",1.103
"ES412","2003-01-01",0.904
"ES413","2003-01-01",0.88
"ES414","2003-01-01",0.852
"ES415","2003-01-01",1.06
"ES416","2003-01-01",0.893
"ES417","2003-01-01",0.865
"ES418","2003-01-01",0.928
"ES419","2003-01-01",1.036
"ES421","2003-01-01",-0.107
"ES422","2003-01-01",0.538
"ES423","2003-01-01",0.94
"ES424","2003-01-01",0.796
"ES425","2003-01-01",0.129
"ES431","2003-01-01",0.659
"ES432","2003-01-01",0.749
"ES511","2003-01-01",0.674
"ES512","2003-01-01",0.469
"ES513","2003-01-01",0.009
"ES514","2003-01-01",-0.752
"ES521","2003-01-01",-0.973
"ES522","2003-01-01",-0.771
"ES523","2003-01-01",-0.588
"ES531","2003-01-01",-0.625
"ES532","2003-01-01",0.409
"ES533","2003-01-01",0.762
"ES611","2003-01-01",-0.577
"ES612","2003-01-01",0.867
"ES613","2003-01-01",0.814
"ES614","2003-01-01",0.84
"ES615","2003-01-01",0.7
"ES616","2003-01-01",0.643
"ES617","2003-01-01",0.721
"ES618","2003-01-01",0.762
"ES620","2003-01-01",-0.434
"ES630","2003-01-01",0.871
"ES640","2003-01-01",0.963
"FI193","2003-01-01",-2.618
"FI194","2003-01-01",-2.692
"FI195","2003-01-01",-2.511
"FI196","2003-01-01",-3.446
"FI197","2003-01-01",-3.706
"FI1B1","2003-01-01",-3.796
"FI1C1","2003-01-01",-3.169
"FI1C2","2003-01-01",-3.372
"FI1C3","2003-01-01",-2.625
"FI1C4","2003-01-01",-3.405
"FI1C5","2003-01-01",-3.254
"FI1D1","2003-01-01",-3.013
"FI1D2","2003-01-01",-2.475
"FI1D3","2003-01-01",-3.034
"FI1D5","2003-01-01",-3.028
"FI1D7","2003-01-01",-0.265
"FI1D8","2003-01-01",-2.562
"FI1D9","2003-01-01",-2.369
"FI200","2003-01-01",-2.504
"FR101","2003-01-01",0.703
"FR102","2003-01-01",0.882
"FR103","2003-01-01",1.018
"FR104","2003-01-01",0.934
"FR105","2003-01-01",0.835
"FR106","2003-01-01",0.781
"FR107","2003-01-01",0.894
"FR108","2003-01-01",1.055
"FRB01","2003-01-01",0.774
"FRB02","2003-01-01",0.778
"FRB03","2003-01-01",0.711
"FRB04","2003-01-01",0.719
"FRB05","2003-01-01",0.775
"FRB06","2003-01-01",0.901
"FRC11","2003-01-01",0.786
"FRC12","2003-01-01",0.841
"FRC13","2003-01-01",0.736
"FRC14","2003-01-01",0.922
"FRC21","2003-01-01",0.834
"FRC22","2003-01-01",1.371
"FRC23","2003-01-01",0.773
"FRC24","2003-01-01",1.047
"FRD11","2003-01-01",0.825
"FRD12","2003-01-01",0.592
"FRD13","2003-01-01",0.937
"FRD21","2003-01-01",1.029
"FRD22","2003-01-01",0.84
"FRE11","2003-01-01",0.589
